Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Rect_L7.0mm_W2.0mm_P5.00mm,2,0.1uF,
"C3, C4, C5, C6",CP_Radial_Tantal_D4.5mm_P2.50mm,4,3.3uF Tantaulum,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Power Conn,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Input Conn,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Output Conn,
QUADPOT1,Quad Potentiometer,1,~,
"R1, R10, R11, R12, R2, R3, R4, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,100R,
"R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10k,
"SW1, SW2, SW3, SW4",PinHeader_1x02_P2.54mm_Vertical,4,SW_SPST,
U1,DIP-14_W7.62mm,1,TL074,
