Designator,Mid X,Mid Y,Rotation,Layer
C1,155.488,-116.84,180.0,top
C2,176.236,-114.808,0.0,top
C3,174.01,-136.652,0.0,top
C4,179.558,-136.652,0.0,top
C5,173.97,-127.508,0.0,top
C6,179.05,-127.508,0.0,top
J1,165.608,-103.124,90.0,top
J2,154.94,-103.124,90.0,top
J3,176.53,-103.124,90.0,top
QUADPOT1,166.116,-136.144,0.0,top
R1,155.448,-119.888,0.0,top
R10,176.53,-117.856,0.0,top
R11,176.53,-108.204,0.0,top
R12,155.194,-107.696,0.0,top
R2,155.194,-110.744,0.0,top
R3,155.194,-113.792,0.0,top
R4,155.702,-125.984,0.0,top
R5,176.022,-142.24,0.0,top
R6,176.53,-132.588,0.0,top
R7,176.53,-121.412,0.0,top
R8,176.53,-111.76,180.0,top
R9,155.702,-122.936,180.0,top
SW1,156.469,-141.478,90.0,top
SW2,156.464,-137.414,90.0,top
SW3,156.469,-133.35,90.0,top
SW4,156.469,-129.286,90.0,top
U1,166.116,-116.586,0.0,top
