Designator,Mid X,Mid Y,Rotation,Layer
BRD1,63.5,-181.102,90.0,top
C1,43.688,-145.756,270.0,top
C10,122.936,-151.678,270.0,top
C11,118.836,-143.764,180.0,top
C12,67.194,-144.094,180.0,top
C13,58.384,-144.094,180.0,top
C14,127.468,-143.764,180.0,top
C15,46.736,-145.836,90.0,top
C17,64.262,-150.074,270.0,top
C2,44.97,-134.112,0.0,top
C3,49.557401,-134.112,0.0,top
C4,50.8,-144.514,270.0,top
C5,123.444,-170.394,90.0,top
C6,103.886,-146.772,90.0,top
C7,82.042,-147.788,90.0,top
C8,82.042,-126.96,270.0,top
C9,103.886,-127.722,270.0,top
D1,50.292,-155.194,270.0,top
J1,39.37,-139.192,0.0,top
J2,56.642,-126.746,90.0,top
J3,81.788,-180.848,90.0,top
J4,126.492,-180.594,90.0,top
J5,40.107,-126.477,180.0,top
J6,117.348,-126.492,180.0,top
R1,43.18,-155.194,270.0,top
R10,91.186,-127.0,270.0,top
R11,78.994,-127.0,270.0,top
R12,75.946,-127.0,90.0,top
R13,72.898,-127.0,270.0,top
R14,100.838,-147.574,270.0,top
R15,97.79,-147.574,90.0,top
R16,94.742,-147.574,90.0,top
R17,106.934,-147.574,90.0,top
R18,109.982,-147.574,270.0,top
R19,113.03,-147.574,90.0,top
R2,78.994,-147.828,90.0,top
R20,106.934,-126.746,270.0,top
R21,109.982,-126.746,90.0,top
R22,113.03,-126.746,270.0,top
R23,100.838,-126.746,270.0,top
R24,97.79,-126.746,90.0,top
R25,94.742,-126.746,270.0,top
R26,120.142,-171.45,90.0,top
R27,116.84,-171.45,90.0,top
R28,126.746,-171.45,90.0,top
R29,130.048,-171.45,90.0,top
R3,75.946,-147.828,270.0,top
R30,126.492,-150.622,270.0,top
R31,129.794,-150.622,270.0,top
R32,119.888,-150.622,90.0,top
R33,116.84,-150.622,270.0,top
R34,46.736,-155.194,270.0,top
R35,67.564,-155.448,180.0,top
R4,72.898,-147.828,90.0,top
R5,85.09,-147.828,90.0,top
R6,88.138,-147.828,270.0,top
R7,91.186,-147.828,90.0,top
R8,85.09,-127.0,270.0,top
R9,88.138,-127.0,90.0,top
SW1,111.506,-180.848,270.0,top
SW2,98.831,-180.848,0.0,top
U1,83.312,-166.624,0.0,top
U10,57.658,-151.638,0.0,top
U11,46.228,-140.208,0.0,top
U3,128.27,-136.906,90.0,top
U4,117.348,-136.906,90.0,top
U5,57.333,-137.49,90.0,top
U6,68.504,-137.49,90.0,top
U7,83.49,-137.49,90.0,top
U8,102.362,-137.16,90.0,top
U9,124.46,-161.036,90.0,top
